"","address","lat","long","addresstype"
"1","Afghanistan",33.7680065,66.2385139,"country"
"2","Algeria",28.0000272,2.9999825,"country"
"3","Andorra",42.5407167,1.5732033,"country"
"4","Angola",-11.8775768,17.5691241,"country"
"5","Antigua and Barbuda",17.2234721,-61.9554608,"country"
"6","Argentina",-34.9964963,-64.9672817,"country"
"7","Australia",-24.7761086,134.755,"country"
"8","Austria",47.59397,14.12456,"country"
"9","Albania",40.9971336410827,20.1792329978173,"country"
"10","Armenia",40.2790115080891,44.6684773130366,"country"
