"","country","date","confirmed","recovered","deaths","population","conf_7Days_moving_avg","rec_7Days_moving_avg","deaths_7Days_moving_avg","conf_x10,000pop_rate","rec_x10,000pop_rate","deaths_x10,000pop_rate"
"1","China",2020-03-23,81439,72814,3274,1407745000,NA,NA,NA,NA,NA,NA
"2","China",2020-03-22,81397,72362,3265,1407745000,NA,NA,NA,NA,NA,NA
"3","China",2020-03-21,81305,71857,3259,1407745000,NA,NA,NA,NA,NA,NA
"4","China",2020-03-20,81250,71266,3253,1407745000,81244,71055,3253,1,1,1
"5","China",2020-03-19,81156,70535,3249,1407745000,81186,70355,3245,1,1,1
"6","China",2020-03-18,81102,69755,3241,1407745000,81130,69591,3236,1,1,1
"7","China",2020-03-17,81058,68798,3230,1407745000,81083,68706,3227,1,1,1
"8","China",2020-03-16,81033,67910,3217,1407745000,81039,67696,3216,1,1,1
"9","China",2020-03-15,81003,67017,3203,1407745000,81007,66605,3205,1,1,1
"10","China",2020-03-14,80977,65660,3193,1407745000,80981,65447,3194,1,1,1
"11","China",2020-03-13,80945,64196,3180,1407745000,80957,64216,3181,1,1,1
"12","China",2020-03-12,80932,62901,3172,1407745000,80932,62915,3167,1,1,1
"13","China",2020-03-11,80921,61644,3161,1407745000,80906,61539,3153,1,1,1
"14","China",2020-03-10,80887,60181,3139,1407745000,80877,60093,3135,1,1,1
"15","China",2020-03-09,80860,58804,3123,1407745000,80840,58629,3116,1,1,1
"16","China",2020-03-08,80823,57388,3100,1407745000,80784,57113,3093,1,1,1
"17","China",2020-03-07,80770,55539,3072,1407745000,80708,55450,3068,1,1,1
"18","China",2020-03-06,80690,53944,3044,1407745000,80618,53631,3041,1,1,1
"19","China",2020-03-05,80537,52292,3015,1407745000,80515,51638,3011,1,1,1
"20","China",2020-03-04,80386,50001,2983,1407745000,80387,49463,2978,1,1,1
"21","China",2020-03-03,80261,47450,2947,1407745000,80185,47146,2945,1,1,1
"22","China",2020-03-02,80136,44854,2914,1407745000,79934,44630,2908,1,1,1
"23","China",2020-03-01,79932,42162,2872,1407745000,79657,41864,2870,1,1,1
"24","China",2020-02-29,79356,39320,2837,1407745000,79340,39018,2832,1,1,1
"25","China",2020-02-28,78928,36329,2790,1407745000,78982,36194,2792,1,1,1
"26","China",2020-02-27,78600,32930,2746,1407745000,78568,33359,2746,1,1,1
"27","China",2020-02-26,78166,30084,2717,1407745000,78152,30649,2685,1,1,1
"28","China",2020-02-25,77754,27676,2665,1407745000,77816,28274,2629,1,1,1
"29","China",2020-02-24,77241,25015,2595,1407745000,77333,25756,2550,1,1,1
"30","China",2020-02-23,77022,23187,2445,1407745000,76830,23626,2477,1,1,1
"31","China",2020-02-22,77001,22699,2443,1407745000,76323,21608,2391,1,1,1
"32","China",2020-02-21,75550,18704,2238,1407745000,75817,19684,2297,1,1,1
"33","China",2020-02-20,75077,18014,2238,1407745000,75131,17891,2192,1,1,1
"34","China",2020-02-19,74619,15962,2116,1407745000,74201,16115,2095,1,1,1
"35","China",2020-02-18,74211,14206,2003,1407745000,72974,14200,1984,1,1,1
"36","China",2020-02-17,72434,12462,1864,1407745000,71661,12668,1882,1,1,1
"37","China",2020-02-16,70513,10755,1766,1407745000,69492,10982,1757,1,1,1
"38","China",2020-02-15,68413,9298,1663,1407745000,65226,9428,1615,1,1,1
"39","China",2020-02-14,66358,7977,1521,1407745000,60965,8061,1487,1,1,1
"40","China",2020-02-13,59895,6217,1369,1407745000,56668,6840,1366,1,1,1
"41","Italy",2020-03-22,59138,7024,5476,59729081,NA,NA,NA,NA,NA,NA
"42","Italy",2020-03-23,59138,7024,5476,59729081,NA,NA,NA,NA,NA,NA
"43","Italy",2020-03-21,53578,6072,4825,59729081,NA,NA,NA,NA,NA,NA
"44","Italy",2020-03-20,47021,4440,4032,59729081,46733,5138,4099,8,1,1
"45","China",2020-02-12,44759,5082,1117,1407745000,52285,5764,1243,1,1,1
"46","China",2020-02-11,44386,4636,1112,1407745000,47771,4806,1120,1,1,1
"47","China",2020-02-10,42354,3918,1012,1407745000,43164,3952,1005,1,1,1
"48","Italy",2020-03-19,41035,4440,3405,59729081,42282,4527,3625,8,1,1
"49","China",2020-02-09,39829,3219,905,1407745000,38977,3275,900,1,1,1
"50","China",2020-02-08,36814,2596,805,1407745000,36503,2709,821,1,1,1
"51","Italy",2020-03-18,35713,4025,2978,59729081,37369,3857,3101,7,1,1
"52","China",2020-02-07,34110,1999,718,1407745000,33549,2167,732,1,1,1
"53","US",2020-03-23,33294,178,417,328329953,NA,NA,NA,NA,NA,NA
"54","US",2020-03-22,33281,0,417,328329953,NA,NA,NA,NA,NA,NA
"55","Italy",2020-03-17,31506,2941,2503,59729081,32737,3271,2618,6,1,1
"56","China",2020-02-06,30587,1477,633,1407745000,30315,1695,649,1,1,1
"57","Spain",2020-03-22,28768,2575,1772,47134837,NA,NA,NA,NA,NA,NA
"58","Spain",2020-03-23,28768,2575,1772,47134837,NA,NA,NA,NA,NA,NA
"59","Italy",2020-03-16,27980,2749,2158,59729081,28543,2842,2223,5,1,1
"60","China",2020-02-05,27440,1115,563,1407745000,27001,1301,571,1,1,1
"61","US",2020-03-21,25498,0,307,328329953,NA,NA,NA,NA,NA,NA
"62","Spain",2020-03-21,25374,2125,1375,47134837,NA,NA,NA,NA,NA,NA
"63","Germany",2020-03-22,24873,266,94,83092962,NA,NA,NA,NA,NA,NA
"64","Germany",2020-03-23,24873,266,94,83092962,NA,NA,NA,NA,NA,NA
"65","Italy",2020-03-15,24747,2335,1809,59729081,24461,2357,1855,5,1,1
"66","China",2020-02-04,23707,843,491,1407745000,23440,969,493,1,1,1
"67","Germany",2020-03-21,22213,233,84,83092962,NA,NA,NA,NA,NA,NA
"68","Iran",2020-03-22,21638,7931,1685,86564202,NA,NA,NA,NA,NA,NA
"69","Iran",2020-03-23,21638,7931,1685,86564202,NA,NA,NA,NA,NA,NA
"70","Italy",2020-03-14,21157,1966,1441,59729081,21139,1931,1547,4,1,1
"71","Iran",2020-03-21,20610,7635,1556,86564202,NA,NA,NA,NA,NA,NA
"72","Spain",2020-03-20,20410,1588,1043,47134837,20992,1726,1135,5,1,1
"73","Germany",2020-03-20,19848,180,67,83092962,18387,176,62,3,1,1
"74","China",2020-02-03,19716,614,425,1407745000,19968,714,421,1,1,1
"75","Iran",2020-03-20,19644,6745,1433,86564202,19352,6676,1395,3,1,1
"76","US",2020-03-20,19109,0,244,328329953,19869,28,259,1,1,1
"77","Iran",2020-03-19,18407,5710,1284,86564202,18403,6198,1276,3,1,1
"78","Spain",2020-03-19,17963,1107,830,47134837,18302,1433,931,4,1,1
"79","Italy",2020-03-13,17660,1439,1266,59729081,18088,1615,1280,4,1,1
"80","Iran",2020-03-18,17361,5389,1135,86564202,17303,5721,1139,2,1,1
"81","China",2020-02-02,16630,463,361,1407745000,16761,523,355,1,1,1
"82","France",2020-03-22,16176,2206,674,67388001,NA,NA,NA,NA,NA,NA
"83","Iran",2020-03-17,16169,5389,988,86564202,16177,5053,1004,2,1,1
"84","France",2020-03-23,16044,2200,674,67388001,NA,NA,NA,NA,NA,NA
"85","Germany",2020-03-19,15320,113,44,83092962,15873,147,51,2,1,1
"86","Iran",2020-03-16,14991,4590,853,86564202,14994,4512,873,2,1,1
"87","France",2020-03-21,14431,12,562,67388001,NA,NA,NA,NA,NA,NA
"88","Iran",2020-03-15,13938,4590,724,86564202,13804,4119,751,2,1,1
"89","Spain",2020-03-18,13910,1081,623,47134837,15306,1139,719,4,1,1
"90","US",2020-03-19,13686,0,200,328329953,15775,5,211,1,1,1
"91","Iran",2020-03-14,12729,2959,611,86564202,12609,3772,639,2,1,1
"92","France",2020-03-20,12726,12,450,67388001,12447,638,414,2,1,1
"93","Italy",2020-03-11,12462,1045,827,59729081,12920,1081,832,3,1,1
"94","Italy",2020-03-12,12462,1045,827,59729081,15401,1325,1038,3,1,1
"95","Germany",2020-03-18,12327,105,28,83092962,13147,116,39,2,1,1
"96","China",2020-02-01,11891,275,259,1407745000,13711,381,293,1,1,1
"97","Spain",2020-03-17,11748,1028,533,47134837,12595,910,551,3,1,1
"98","Iran",2020-03-13,11364,2959,514,86564202,11448,3392,539,2,1,1
"99","France",2020-03-19,10947,12,243,67388001,11107,325,339,2,1,1
"100","Italy",2020-03-10,10149,724,631,59729081,10738,884,659,2,1,1
"101","Iran",2020-03-12,10075,2959,429,86564202,10330,3079,451,2,1,1
"102","Spain",2020-03-16,9942,530,342,47134837,10426,710,421,3,1,1
"103","China",2020-01-31,9802,214,213,1407745000,11111,275,242,1,1,1
"104","Germany",2020-03-17,9257,67,24,83092962,10629,89,29,2,1,1
"105","Italy",2020-03-09,9172,724,463,59729081,8877,753,506,2,1,1
"106","France",2020-03-18,9105,12,148,67388001,9443,12,256,2,1,1
"107","Iran",2020-03-11,9000,2959,354,86564202,9277,2728,376,2,1,1
"108","Korea South",2020-03-22,8897,2909,104,51764822,NA,NA,NA,NA,NA,NA
"109","Korea South",2020-03-23,8897,2909,104,51764822,NA,NA,NA,NA,NA,NA
"110","Korea South",2020-03-21,8799,1540,102,51764822,NA,NA,NA,NA,NA,NA
"111","Korea South",2020-03-20,8652,1540,94,51764822,8649,1912,94,2,1,1
"112","Korea South",2020-03-19,8565,1540,91,51764822,8555,1659,90,2,1,1
"113","Korea South",2020-03-18,8413,1540,84,51764822,8450,1316,86,2,1,1
"114","Korea South",2020-03-17,8320,1407,81,51764822,8348,1169,82,2,1,1
"115","Korea South",2020-03-16,8236,1137,75,51764822,8252,1022,78,2,1,1
"116","Korea South",2020-03-15,8162,510,75,51764822,8152,850,74,2,1,1
"117","China",2020-01-30,8141,135,171,1407745000,8705,195,193,1,1,1
"118","Korea South",2020-03-14,8086,510,72,51764822,8058,671,71,2,1,1
"119","Iran",2020-03-10,8042,2731,291,86564202,8290,2544,309,1,1,1
"120","Korea South",2020-03-13,7979,510,66,51764822,7943,505,67,2,1,1
"121","Korea South",2020-03-12,7869,333,66,51764822,7835,359,64,2,1,1
"122","Spain",2020-03-15,7798,517,289,47134837,8185,578,310,2,1,1
"123","US",2020-03-18,7789,0,118,328329953,11521,7,161,1,1,1
"124","Korea South",2020-03-11,7755,288,60,51764822,7713,303,60,2,1,1
"125","France",2020-03-17,7699,12,148,67388001,8022,12,188,2,1,1
"126","Korea South",2020-03-10,7513,247,54,51764822,7564,250,56,2,1,1
"127","Korea South",2020-03-09,7478,118,53,51764822,7366,196,53,2,1,1
"128","Italy",2020-03-08,7375,622,366,59729081,7648,663,409,2,1,1
"129","Korea South",2020-03-08,7314,118,50,51764822,7112,155,48,2,1,1
"130","Germany",2020-03-16,7272,67,17,83092962,8319,70,20,2,1,1
"131","Switzerland",2020-03-22,7245,131,98,8575280,NA,NA,NA,NA,NA,NA
"132","Switzerland",2020-03-23,7245,131,98,8575280,NA,NA,NA,NA,NA,NA
"133","Iran",2020-03-09,7161,2394,237,86564202,7345,2251,253,1,1,1
"134","Korea South",2020-03-07,7041,135,44,51764822,6807,119,45,2,1,1
"135","France",2020-03-16,6668,12,148,67388001,6730,12,135,1,1,1
"136","Korea South",2020-03-06,6593,135,42,51764822,6474,88,41,2,1,1
"137","Switzerland",2020-03-21,6575,15,75,8575280,NA,NA,NA,NA,NA,NA
"138","Iran",2020-03-08,6566,2134,194,86564202,6407,1934,207,1,1,1
"139","US",2020-03-17,6427,17,108,328329953,8268,8,125,1,1,1
"140","Spain",2020-03-14,6391,517,195,47134837,6524,450,229,2,1,1
"141","Korea South",2020-03-05,6088,41,35,51764822,6025,76,37,2,1,1
"142","China",2020-01-29,6087,120,133,1407745000,6626,136,149,1,1,1
"143","Italy",2020-03-07,5883,589,233,59729081,6309,553,306,2,1,1
"144","Iran",2020-03-07,5823,1669,145,86564202,5539,1590,170,1,1,1
"145","Germany",2020-03-15,5795,46,11,83092962,6427,57,14,1,1,1
"146","United Kingdom",2020-03-22,5741,67,282,66836327,NA,NA,NA,NA,NA,NA
"147","United Kingdom",2020-03-23,5741,67,282,66836327,NA,NA,NA,NA,NA,NA
"148","Korea South",2020-03-04,5621,41,35,51764822,5514,63,33,2,1,1
"149","China",2020-01-28,5509,101,131,1407745000,5128,102,118,1,1,1
"150","Switzerland",2020-03-20,5294,15,54,8575280,5166,47,60,7,1,1
"151","Spain",2020-03-13,5232,193,133,47134837,5087,308,158,2,1,1
"152","Korea South",2020-03-03,5186,30,28,51764822,4958,48,29,1,1,1
"153","United Kingdom",2020-03-21,5067,67,234,66836327,NA,NA,NA,NA,NA,NA
"154","Iran",2020-03-06,4747,913,124,86564202,4724,1242,139,1,1,1
"155","Italy",2020-03-06,4636,523,197,59729081,5216,473,228,1,1,1
"156","US",2020-03-16,4635,17,85,328329953,5850,10,96,1,1,1
"157","Germany",2020-03-14,4585,46,9,83092962,4939,46,11,1,1,1
"158","France",2020-03-15,4523,12,91,67388001,5493,12,108,1,1,1
"159","France",2020-03-14,4487,12,91,67388001,4519,12,93,1,1,1
"160","Korea South",2020-03-02,4335,30,28,51764822,4350,32,25,1,1,1
"161","Netherlands",2020-03-22,4216,2,180,17344874,NA,NA,NA,NA,NA,NA
"162","Netherlands",2020-03-23,4216,2,180,17344874,NA,NA,NA,NA,NA,NA
"163","Switzerland",2020-03-19,4075,15,41,8575280,4445,28,48,6,1,1
"164","United Kingdom",2020-03-20,4014,67,178,66836327,3983,65,177,1,1,1
"165","Italy",2020-03-05,3858,414,148,59729081,4197,390,169,1,1,1
"166","Korea South",2020-03-01,3736,30,17,51764822,3733,29,21,1,1,1
"167","France",2020-03-13,3678,12,79,67388001,3675,12,77,1,1,1
"168","Germany",2020-03-13,3675,46,7,83092962,3824,39,7,1,1,1
"169","Netherlands",2020-03-21,3640,2,137,17344874,NA,NA,NA,NA,NA,NA
"170","Iran",2020-03-05,3513,739,107,86564202,3915,941,115,1,1,1
"171","US",2020-03-15,3502,12,63,328329953,4132,12,74,1,1,1
"172","Belgium",2020-03-22,3401,263,75,11488980,NA,NA,NA,NA,NA,NA
"173","Belgium",2020-03-23,3401,263,75,11488980,NA,NA,NA,NA,NA,NA
"174","Austria",2020-03-22,3244,9,16,8879920,NA,NA,NA,NA,NA,NA
"175","Austria",2020-03-23,3244,9,16,8879920,NA,NA,NA,NA,NA,NA
"176","Korea South",2020-02-29,3150,27,16,51764822,3110,26,18,1,1,1
"177","Italy",2020-03-04,3089,276,107,59729081,3385,313,121,1,1,1
"178","Switzerland",2020-03-18,3028,15,28,8575280,3725,10,36,5,1,1
"179","Netherlands",2020-03-20,3003,2,107,17344874,3044,2,112,2,1,1
"180","Iran",2020-03-04,2922,552,92,86564202,3117,661,95,1,1,1
"181","China",2020-01-27,2877,58,82,1407745000,3859,77,92,1,1,1
"182","Belgium",2020-03-21,2815,263,67,11488980,NA,NA,NA,NA,NA,NA
"183","Austria",2020-03-21,2814,9,8,8879920,NA,NA,NA,NA,NA,NA
"184","US",2020-03-14,2730,12,54,328329953,3202,13,62,1,1,1
"185","United Kingdom",2020-03-19,2716,67,138,66836327,3384,58,145,1,1,1
"186","Switzerland",2020-03-17,2700,4,27,8575280,2979,9,27,4,1,1
"187","United Kingdom",2020-03-18,2642,67,72,66836327,2728,52,108,1,1,1
"188","Italy",2020-03-03,2502,160,79,59729081,2706,236,92,1,1,1
"189","Netherlands",2020-03-19,2467,2,77,17344874,2644,2,89,2,1,1
"190","Austria",2020-03-20,2388,9,6,8879920,2383,8,8,3,1,1
"191","Norway",2020-03-22,2383,1,7,5347896,NA,NA,NA,NA,NA,NA
"192","Norway",2020-03-23,2383,1,7,5347896,NA,NA,NA,NA,NA,NA
"193","Korea South",2020-02-28,2337,22,13,51764822,2509,25,16,1,1,1
"194","Iran",2020-03-03,2336,291,77,86564202,2370,441,80,1,1,1
"195","France",2020-03-11,2290,12,48,67388001,2413,12,48,1,1,1
"196","France",2020-03-12,2290,12,48,67388001,2897,12,58,1,1,1
"197","Spain",2020-03-11,2277,183,54,47134837,2803,167,74,1,1,1
"198","Spain",2020-03-12,2277,183,55,47134837,3820,237,113,1,1,1
"199","Belgium",2020-03-20,2257,1,37,11488980,2343,122,43,3,1,1
"200","Switzerland",2020-03-15,2200,4,14,8575280,1897,6,16,3,1,1
"201","Switzerland",2020-03-16,2200,4,14,8575280,2386,7,21,3,1,1
"202","US",2020-03-13,2179,12,47,328329953,2421,12,50,1,1,1
"203","Norway",2020-03-21,2118,1,7,5347896,NA,NA,NA,NA,NA,NA
"204","Germany",2020-03-12,2078,25,3,83092962,2953,32,5,1,1,1
"205","China",2020-01-26,2075,49,56,1407745000,2788,62,70,1,1,1
"206","Netherlands",2020-03-18,2058,2,58,17344874,2205,2,67,2,1,1
"207","Italy",2020-03-02,2036,149,52,59729081,2171,168,67,1,1,1
"208","Austria",2020-03-19,2013,9,6,8879920,2065,7,7,3,1,1
"209","United Kingdom",2020-03-17,1960,53,56,66836327,2167,45,77,1,1,1
"210","Sweden",2020-03-22,1934,16,21,10278887,NA,NA,NA,NA,NA,NA
"211","Sweden",2020-03-23,1934,16,21,10278887,NA,NA,NA,NA,NA,NA
"212","Norway",2020-03-20,1914,1,7,5347896,1937,1,6,4,1,1
"213","Germany",2020-03-11,1908,25,3,83092962,2274,28,4,1,1,1
"214","Belgium",2020-03-19,1795,31,21,11488980,2008,84,33,2,1,1
"215","France",2020-03-10,1792,12,33,67388001,1908,12,37,1,1,1
"216","Korea South",2020-02-27,1766,22,13,51764822,2009,23,13,1,1,1
"217","Sweden",2020-03-21,1763,16,20,10278887,NA,NA,NA,NA,NA,NA
"218","Norway",2020-03-19,1746,1,7,5347896,1787,1,6,4,1,1
"219","Netherlands",2020-03-17,1711,2,43,17344874,1822,2,49,2,1,1
"220","Spain",2020-03-10,1695,32,35,47134837,1961,98,47,1,1,1
"221","Italy",2020-03-01,1694,83,34,59729081,1713,115,48,1,1,1
"222","US",2020-03-12,1663,12,40,328329953,1842,10,41,1,1,1
"223","Austria",2020-03-18,1646,9,4,8879920,1724,7,4,2,1,1
"224","Sweden",2020-03-20,1639,16,16,10278887,1597,12,15,2,1,1
"225","Portugal",2020-03-22,1600,5,14,10286263,NA,NA,NA,NA,NA,NA
"226","Portugal",2020-03-23,1600,5,14,10286263,NA,NA,NA,NA,NA,NA
"227","Brazil",2020-03-22,1593,2,25,211782878,NA,NA,NA,NA,NA,NA
"228","Brazil",2020-03-23,1593,2,25,211782878,NA,NA,NA,NA,NA,NA
"229","United Kingdom",2020-03-16,1551,21,56,66836327,1709,38,53,1,1,1
"230","Norway",2020-03-18,1550,1,6,5347896,1621,1,5,4,1,1
"231","Denmark",2020-03-22,1514,1,13,5814422,NA,NA,NA,NA,NA,NA
"232","Denmark",2020-03-23,1514,1,13,5814422,NA,NA,NA,NA,NA,NA
"233","Iran",2020-03-02,1501,291,66,86564202,1747,321,68,1,1,1
"234","Belgium",2020-03-18,1486,31,14,11488980,1649,47,23,2,1,1
"235","Canada",2020-03-23,1470,10,21,37618495,NA,NA,NA,NA,NA,NA
"236","Canada",2020-03-22,1465,10,21,37618495,NA,NA,NA,NA,NA,NA
"237","Norway",2020-03-17,1463,1,3,5347896,1474,1,5,3,1,1
"238","Germany",2020-03-10,1457,18,2,83092962,1733,24,2,1,1,1
"239","Sweden",2020-03-19,1439,16,11,10278887,1478,10,13,2,1,1
"240","Denmark",2020-03-21,1420,1,13,5814422,NA,NA,NA,NA,NA,NA
"241","Netherlands",2020-03-16,1416,2,24,17344874,1508,2,35,1,1,1
"242","China",2020-01-25,1406,39,42,1407745000,1997,49,53,1,1,1
"243","Switzerland",2020-03-14,1359,4,13,8575280,1557,4,12,2,1,1
"244","Denmark",2020-03-20,1337,1,9,5814422,1307,1,9,3,1,1
"245","Norway",2020-03-16,1333,1,3,5347896,1343,1,4,3,1,1
"246","Austria",2020-03-17,1332,1,3,8879920,1416,7,3,2,1,1
"247","Australia",2020-03-22,1314,88,7,25334826,NA,NA,NA,NA,NA,NA
"248","Australia",2020-03-23,1314,88,7,25334826,NA,NA,NA,NA,NA,NA
"249","Malaysia",2020-03-22,1306,139,10,32804020,NA,NA,NA,NA,NA,NA
"250","Malaysia",2020-03-23,1306,139,10,32804020,NA,NA,NA,NA,NA,NA
"251","US",2020-03-11,1281,8,36,328329953,1416,9,35,1,1,1
"252","Portugal",2020-03-21,1280,5,12,10286263,NA,NA,NA,NA,NA,NA
"253","Sweden",2020-03-18,1279,1,10,10278887,1348,7,10,2,1,1
"254","Canada",2020-03-21,1278,10,19,37618495,NA,NA,NA,NA,NA,NA
"255","Korea South",2020-02-26,1261,22,12,51764822,1561,22,11,1,1,1
"256","Belgium",2020-03-17,1243,1,10,11488980,1345,10,14,2,1,1
"257","Turkey",2020-03-22,1236,0,30,82579440,NA,NA,NA,NA,NA,NA
"258","Turkey",2020-03-23,1236,0,30,82579440,NA,NA,NA,NA,NA,NA
"259","Denmark",2020-03-19,1225,1,6,5814422,1224,1,7,3,1,1
"260","Norway",2020-03-15,1221,1,3,5347896,1194,1,3,3,1,1
"261","France",2020-03-09,1217,12,19,67388001,1477,12,27,1,1,1
"262","Sweden",2020-03-17,1190,1,7,10278887,1233,5,8,2,1,1
"263","Malaysia",2020-03-21,1183,114,4,32804020,NA,NA,NA,NA,NA,NA
"264","Germany",2020-03-09,1176,18,2,83092962,1304,20,1,1,1,1
"265","United Kingdom",2020-03-15,1145,19,21,66836327,1386,31,35,1,1,1
"266","United Kingdom",2020-03-14,1144,19,21,66836327,1074,24,25,1,1,1
"267","Switzerland",2020-03-13,1139,4,11,8575280,1242,4,9,2,1,1
"268","Netherlands",2020-03-15,1138,2,20,17344874,1228,1,25,1,1,1
"269","France",2020-03-08,1134,12,19,67388001,1204,12,21,1,1,1
"270","Italy",2020-02-29,1128,46,29,59729081,1337,76,35,1,1,1
"271","Czechia",2020-03-22,1120,6,1,10670000,NA,NA,NA,NA,NA,NA
"272","Czechia",2020-03-23,1120,6,1,10670000,NA,NA,NA,NA,NA,NA
"273","Denmark",2020-03-18,1116,1,4,5814422,1133,1,6,2,1,1
"274","Sweden",2020-03-16,1103,1,6,10278887,1115,3,6,2,1,1
"275","Norway",2020-03-14,1090,1,3,5347896,1058,1,2,2,1,1
"276","Japan",2020-03-22,1086,235,40,126633000,NA,NA,NA,NA,NA,NA
"277","Japan",2020-03-23,1086,235,40,126633000,NA,NA,NA,NA,NA,NA
"278","Spain",2020-03-09,1073,32,28,47134837,1271,70,29,1,1,1
"279","Australia",2020-03-21,1071,26,7,25334826,NA,NA,NA,NA,NA,NA
"280","Israel",2020-03-22,1071,37,1,9050000,NA,NA,NA,NA,NA,NA
"281","Israel",2020-03-23,1071,37,1,9050000,NA,NA,NA,NA,NA,NA
"282","Belgium",2020-03-16,1058,1,5,11488980,1102,10,9,1,1,1
"283","Germany",2020-03-08,1040,18,0,83092962,1076,19,1,1,1,1
"284","Malaysia",2020-03-20,1030,87,3,32804020,1027,95,5,1,1,1
"285","Denmark",2020-03-17,1025,1,4,5814422,1050,1,4,2,1,1
"286","Sweden",2020-03-15,1022,1,3,10278887,995,1,4,1,1,1
"287","Brazil",2020-03-21,1021,2,15,211782878,NA,NA,NA,NA,NA,NA
"288","Portugal",2020-03-20,1020,5,6,10286263,1026,4,7,1,1,1
"289","Austria",2020-03-16,1018,6,3,8879920,1147,6,3,2,1,1
"290","Japan",2020-03-21,1007,232,35,126633000,NA,NA,NA,NA,NA,NA
"291","Norway",2020-03-13,996,1,0,5347896,906,1,1,2,1,1
"292","Czechia",2020-03-21,995,6,0,10670000,NA,NA,NA,NA,NA,NA
"293","Iran",2020-03-01,978,175,54,86564202,1280,222,56,1,1,1
"294","Korea South",2020-02-25,977,22,10,51764822,1173,20,9,1,1,1
"295","Japan",2020-03-20,963,191,33,126633000,976,190,34,1,1,1
"296","Netherlands",2020-03-14,962,2,12,17344874,1006,1,17,1,1,1
"297","Sweden",2020-03-14,961,1,2,10278887,884,1,3,1,1,1
"298","US",2020-03-10,959,8,28,328329953,1084,9,30,1,1,1
"299","France",2020-03-07,957,12,11,67388001,918,12,14,1,1,1
"300","Canada",2020-03-20,943,9,12,37618495,1013,9,14,1,1,1
"301","Denmark",2020-03-16,933,1,3,5814422,973,1,3,2,1,1
"302","Japan",2020-03-19,924,150,29,126633000,939,177,32,1,1,1
"303","China",2020-01-24,920,36,26,1407745000,NA,NA,NA,NA,NA,NA
"304","Ireland",2020-03-22,906,5,4,4934340,NA,NA,NA,NA,NA,NA
"305","Ireland",2020-03-23,906,5,4,4934340,NA,NA,NA,NA,NA,NA
"306","Malaysia",2020-03-19,900,75,2,32804020,921,81,3,1,1,1
"307","Japan",2020-03-18,889,144,29,126633000,904,160,29,1,1,1
"308","Italy",2020-02-28,888,46,21,59729081,1025,53,25,1,1,1
"309","Belgium",2020-03-15,886,1,4,11488980,891,5,6,1,1,1
"310","Israel",2020-03-21,883,36,1,9050000,NA,NA,NA,NA,NA,NA
"311","Japan",2020-03-17,878,144,29,126633000,870,144,27,1,1,1
"312","Denmark",2020-03-15,875,1,2,5814422,887,1,2,2,1,1
"313","Austria",2020-03-15,860,6,1,8879920,902,5,2,2,1,1
"314","Japan",2020-03-15,839,118,22,126633000,792,129,23,1,1,1
"315","Denmark",2020-03-14,836,1,1,5814422,791,1,1,2,1,1
"316","Czechia",2020-03-20,833,4,0,10670000,803,4,0,1,1,1
"317","Korea South",2020-02-24,833,18,8,51764822,868,19,8,1,1,1
"318","Japan",2020-03-16,825,144,27,126633000,833,134,25,1,1,1
"319","Sweden",2020-03-13,814,1,1,10278887,765,1,2,1,1,1
"320","Netherlands",2020-03-13,806,0,10,17344874,816,1,11,1,1,1
"321","Denmark",2020-03-13,804,1,0,5814422,682,1,1,2,1,1
"322","United Kingdom",2020-03-13,802,19,8,66836327,849,19,18,1,1,1
"323","Canada",2020-03-19,800,9,9,37618495,862,9,11,1,1,1
"324","Germany",2020-03-07,799,18,0,83092962,841,17,1,1,1,1
"325","Luxembourg",2020-03-22,798,6,8,620001,NA,NA,NA,NA,NA,NA
"326","Luxembourg",2020-03-23,798,6,8,620001,NA,NA,NA,NA,NA,NA
"327","Brazil",2020-03-20,793,2,11,211782878,902,2,12,1,1,1
"328","Australia",2020-03-20,791,26,7,25334826,884,43,6,1,1,1
"329","Malaysia",2020-03-18,790,60,2,32804020,796,67,2,1,1,1
"330","Ecuador",2020-03-22,789,3,14,17343740,NA,NA,NA,NA,NA,NA
"331","Ecuador",2020-03-23,789,3,14,17343740,NA,NA,NA,NA,NA,NA
"332","Ireland",2020-03-21,785,5,3,4934340,NA,NA,NA,NA,NA,NA
"333","Portugal",2020-03-19,785,3,3,10286263,845,4,5,1,1,1
"334","Pakistan",2020-03-22,776,5,5,223293280,NA,NA,NA,NA,NA,NA
"335","Pakistan",2020-03-23,776,5,5,223293280,NA,NA,NA,NA,NA,NA
"336","Japan",2020-03-14,773,118,22,126633000,756,125,21,1,1,1
"337","Pakistan",2020-03-21,730,13,3,223293280,NA,NA,NA,NA,NA,NA
"338","Cruise Ship",2020-03-18,712,325,7,3711,705,325,7,1901,876,20
"339","Cruise Ship",2020-03-19,712,325,7,3711,707,325,7,1907,876,20
"340","Cruise Ship",2020-03-20,712,325,7,3711,710,325,7,1913,876,21
"341","Cruise Ship",2020-03-21,712,325,8,3711,NA,NA,NA,NA,NA,NA
"342","Cruise Ship",2020-03-22,712,325,8,3711,NA,NA,NA,NA,NA,NA
"343","Cruise Ship",2020-03-23,712,325,8,3711,NA,NA,NA,NA,NA,NA
"344","Cruise Ship",2020-03-03,706,10,6,3711,704,14,6,1898,39,17
"345","Cruise Ship",2020-03-04,706,10,6,3711,703,19,6,1894,51,17
"346","Cruise Ship",2020-03-05,706,10,6,3711,702,23,6,1891,62,17
