"","address","lat","long","addresstype"
"1","Cuba",23.0131338,-80.8328748,"country"
"2","Cyprus",34.9823018,33.1451285,"country"
"3","Czechia",49.7439047,15.3381061,"country"
"4","Denmark",55.670249,10.3333283,"country"
"5","Djibouti",11.8145966,42.8453061,"country"
"6","Dominica",15.4113138,-61.3653618,"country"
"7","Dominica",19.0974031,-70.3028026,"country"
"8","Dominican Republic",19.0974031,-70.3028026,"country"
"9","East Timor",-8.7443169,126.063482,"country"
"10","Ecuador",-1.3397668,-79.3666965,"country"
"11","Egypt",26.2540493,29.2675469,"country"
"12","El Salvador",13.8000382,-88.9140683,"country"
"13","Equatorial Guinea",1.613172,10.5170357,"country"
"14","Eritrea",15.9500319,37.9999668,"country"
"15","Estonia",58.7523778,25.3319078,"country"
"16","Eswatini",-26.5624806,31.3991317,"country"
"17","Ethiopia",10.2116702,38.6521203,"country"
"18","Fiji",-18.1239696,179.0122737,"country"
"19","Finland",63.2467777,25.9209164,"country"
"20","France",46.603354,1.8883335,"country"
"21","Gabon",-0.8999695,11.6899699,"country"
"22","Gambia The",13.470062,-15.4900464,"country"
"23","Germany",51.1638175,10.4478313,"country"
"24","Ghana",8.0300284,-1.0800271,"country"
"25","Greece",38.9953683,21.9877132,"country"
"26","Grenada",12.1360374,-61.6904045,"country"
"27","Guatemala",15.5855545,-90.345759,"country"
