"","address","lat","long","addresstype"
"1","Guinea",10.7226226,-10.7083587,"country"
"2","Guyana",4.8417097,-58.6416891,"country"
"3","Haiti",19.1399952,-72.3570972,"country"
"4","Honduras",15.2572432,-86.0755145,"country"
"5","Hungary",47.1817585,19.5060937,"country"
"6","Iceland",64.9841821,-18.1059013,"country"
"7","India",22.3511148,78.6677428,"country"
"8","Indonesia",-2.4833826,117.8902853,"country"
"9","Iran",32.6475314,54.5643516,"country"
"10","Iraq",33.0955793,44.1749775,"country"
"11","Ireland",52.865196,-7.9794599,"country"
"12","Israel",30.8124247,34.8594762,"country"
"13","Italy",42.6384261,12.674297,"country"
"14","Jamaica",18.1850507,-77.3947693,"country"
"15","Japan",36.5748441,139.2394179,"country"
"16","Jersey",49.2214561,-2.1358386,"country"
"17","Kazakhstan",48.1012954,66.7780818,"country"
"18","Kenya",1.4419683,38.4313975,"country"
"19","Korea South",36.638392,127.6961188,"country"
"20","Kosovo",42.5869578,20.9021231,"country"
"21","Kuwait",29.2733964,47.4979476,"country"
"22","Kyrgyzstan",41.5089324,74.724091,"country"
"23","Latvia",56.8406494,24.7537645,"country"
"24","Liberia",5.7499721,-9.3658524,"country"
"25","Liechtenstein",47.1416307,9.5531527,"country"
"26","Lithuania",55.3500003,23.7499997,"country"
"27","Luxembourg",49.8158683,6.1296751,"country"
"28","Madagascar",-18.9249604,46.4416422,"country"
