"","address","lat","long","addresstype"
"1","Azerbaijan",40.3936294,47.7872508,"country"
"2","Bahrain",26.1551249,50.5344606,"country"
"3","Bangladesh",24.4769288,90.2934413,"country"
"4","Barbados",13.1500331,-59.5250305,"country"
"5","Belarus",53.4250605,27.6971358,"country"
"6","Belgium",50.6402809,4.6667145,"country"
"7","Benin",9.5293472,2.2584408,"country"
"8","Bhutan",27.549511,90.5119273,"country"
"9","Bolivia",-17.0568696,-64.9912286,"country"
"10","Bahamas The",24.830939160155,-78.0358274200227,"country"
