"","address","lat","long","addresstype"
"1","Bosnia and Herzegovina",44.3053476,17.5961467,"country"
"2","Brazil",-10.3333333,-53.2,"country"
"3","Brunei",4.4137155,114.5653908,"country"
"4","Bulgaria",42.6073975,25.4856617,"country"
"5","Burkina Faso",12.0753083,-1.6880314,"country"
"6","Cabo Verde",16.0000552,-24.0083947,"country"
"7","Cambodia",12.5433216,104.8144914,"country"
"8","Cameroon",4.6125522,13.1535811,"country"
"9","Canada",61.0666922,-107.991707,"country"
"10","Cape Verde",16.0000552,-24.0083947,"country"
"11","Central African Republic",7.0323598,19.9981227,"country"
