"","country","year","population","capital"
"137","Papua New Guinea",2019,9542486,"Port Moresby"
"138","Paraguay",2019,6530026,"Asuncion"
"139","Peru",2019,32824861,"Lima"
"140","Philippines",2019,110380804,"Manila"
"141","Poland",2019,37965475,"Warsaw"
"142","Portugal",2019,10286263,"Lisbon"
"143","Puerto Rico",2019,3193694,"San Juan"
"144","Qatar",2019,2807235,"Doha"
"145","Romania",2019,19371648,"Bucharest"
"146","Rwanda",2019,12835028,"Kigali"
"147","Samoa",2019,211905,"Apia"
"148","San Marino",2019,34178,"San Marino"
"149","Sao Tome and Principe",2019,214599,"Sao Tome"
"150","Saudi Arabia",2019,35827362,"Riyadh"
"151","Senegal",2019,16000781,"Dakar"
"152","Serbia",2019,6945235,"Belgrade"
"153","Seychelles",2019,97625,"Victoria"
"154","Sierra Leone",2019,8046828,"Freetown"
"155","Singapore",2019,5703569,"Singapore"
"156","Sint Maarten (Dutch part)",2019,39648,"Philipsburg"
"157","Slovenia",2019,2088385,"Ljubljana"
"158","Solomon Islands",2019,674993,"Honiara"
"159","Somalia",2019,15981300,"Mogadishu"
"160","South Africa",2019,58087055,"Pretoria"
"161","South Sudan",2019,10447666,"Juba"
"162","Spain",2019,47134837,"Madrid"
"163","Sri Lanka",2019,21803000,"Colombo"
"164","St. Martin (French part)",2019,33121,"Marigot"
"165","Sudan",2019,43232093,"Khartoum"
"166","Suriname",2019,600301,"Paramaribo"
"167","Sweden",2019,10278887,"Stockholm"
"168","Switzerland",2019,8575280,"Bern"
"169","Tajikistan",2019,9337003,"Dushanbe"
"170","Tanzania",2019,59872579,"Dodoma"
"171","Thailand",2019,71307763,"Bangkok"
"172","Timor-Leste",2019,1280438,"Dili"
"173","Togo",2019,8243094,"Lome"
"174","Tonga",2019,104951,"Nuku'alofa"
"175","Trinidad and Tobago",2019,1519955,"Port-of-Spain"
"176","Tunisia",2019,12049314,"Tunis"
"177","Turkiye",2019,82579440,"Ankara"
"178","Turkmenistan",2019,6158420,"Ashgabat"
"179","Turks and Caicos Islands",2019,43080,"Grand Turk"
"180","Tuvalu",2019,10956,"Funafuti"
"181","Uganda",2019,42949080,"Kampala"
"182","Ukraine",2019,44474512,"Kiev"
"183","United Arab Emirates",2019,9211657,"Abu Dhabi"
"184","United Kingdom",2019,66836327,"London"
"185","Uruguay",2019,3428409,"Montevideo"
"186","Uzbekistan",2019,33580350,"Tashkent"
"187","Vanuatu",2019,304404,"Port-Vila"
"188","Virgin Islands (U.S.)",2019,106669,"Charlotte Amalie"
"189","Zambia",2019,18380477,"Lusaka"
"190","Zimbabwe",2019,15354608,"Harare"
