"","Country"
"1","Cabo Verde"
"2","Congo Brazzaville"
"3","Congo Kinshasa"
"4","Cruise Ship"
"5","Czechia"
"6","French Guiana"
"7","Guadeloupe"
"8","Guernsey"
"9","Holy See"
"10","Israel"
"11","Jersey"
"12","Martinique"
"13","Mayotte"
"14","Reunion"
"15","Taiwan"
"16","The Bahamas"
"17","The Gambia"
"18","TimorLeste"
"19","Venezuela"
"20","Vietnam"
