"","country","year","population","capital"
"135","New Caledonia",2019,271240,"Noum'ea"
"136","New Zealand",2019,4979200,"Wellington"
"137","Nicaragua",2019,6663924,"Managua"
"138","Niger",2019,23443393,"Niamey"
"139","Nigeria",2019,203304492,"Abuja"
"140","North Macedonia",2019,1876262,"Skopje"
"141","Northern Mariana Islands",2019,49858,"Saipan"
"142","Norway",2019,5347896,"Oslo"
"143","Oman",2019,4602768,"Muscat"
"144","Pakistan",2019,223293280,"Islamabad"
"145","Palau",2019,17916,"Koror"
"146","Panama",2019,4232532,"Panama City"
"147","Papua New Guinea",2019,9542486,"Port Moresby"
"148","Paraguay",2019,6530026,"Asuncion"
"149","Peru",2019,32824861,"Lima"
"150","Philippines",2019,110380804,"Manila"
"151","Poland",2019,37965475,"Warsaw"
"152","Portugal",2019,10286263,"Lisbon"
"153","Puerto Rico",2019,3193694,"San Juan"
"154","Qatar",2019,2807235,"Doha"
"155","Romania",2019,19371648,"Bucharest"
"156","Russian Federation",2019,145453291,"Moscow"
"157","Rwanda",2019,12835028,"Kigali"
"158","Samoa",2019,211905,"Apia"
"159","San Marino",2019,34178,"San Marino"
"160","Sao Tome and Principe",2019,214599,"Sao Tome"
"161","Saudi Arabia",2019,35827362,"Riyadh"
"162","Senegal",2019,16000781,"Dakar"
"163","Serbia",2019,6945235,"Belgrade"
"164","Seychelles",2019,97625,"Victoria"
"165","Sierra Leone",2019,8046828,"Freetown"
"166","Singapore",2019,5703569,"Singapore"
"167","Sint Maarten (Dutch part)",2019,39648,"Philipsburg"
"168","Slovak Republic",2019,5454147,"Bratislava"
"169","Slovenia",2019,2088385,"Ljubljana"
"170","Solomon Islands",2019,674993,"Honiara"
"171","Somalia",2019,15981300,"Mogadishu"
"172","South Africa",2019,58087055,"Pretoria"
"173","South Sudan",2019,10447666,"Juba"
"174","Spain",2019,47134837,"Madrid"
"175","Sri Lanka",2019,21803000,"Colombo"
"176","St. Kitts and Nevis",2019,47712,"Basseterre"
"177","St. Lucia",2019,178583,"Castries"
"178","St. Martin (French part)",2019,33121,"Marigot"
"179","St. Vincent and the Grenadines",2019,104924,"Kingstown"
"180","Sudan",2019,43232093,"Khartoum"
"181","Suriname",2019,600301,"Paramaribo"
"182","Sweden",2019,10278887,"Stockholm"
"183","Switzerland",2019,8575280,"Bern"
"184","Syrian Arab Republic",2019,20098251,"Damascus"
"185","Tajikistan",2019,9337003,"Dushanbe"
"186","Tanzania",2019,59872579,"Dodoma"
"187","Thailand",2019,71307763,"Bangkok"
"188","Timor-Leste",2019,1280438,"Dili"
"189","Togo",2019,8243094,"Lome"
"190","Tonga",2019,104951,"Nuku'alofa"
"191","Trinidad and Tobago",2019,1519955,"Port-of-Spain"
"192","Tunisia",2019,12049314,"Tunis"
"193","Turkiye",2019,82579440,"Ankara"
"194","Turkmenistan",2019,6158420,"Ashgabat"
"195","Turks and Caicos Islands",2019,43080,"Grand Turk"
"196","Tuvalu",2019,10956,"Funafuti"
"197","Uganda",2019,42949080,"Kampala"
"198","Ukraine",2019,44474512,"Kiev"
"199","United Arab Emirates",2019,9211657,"Abu Dhabi"
"200","United Kingdom",2019,66836327,"London"
"201","United States",2019,328329953,"Washington D.C."
"202","Uruguay",2019,3428409,"Montevideo"
"203","Uzbekistan",2019,33580350,"Tashkent"
"204","Vanuatu",2019,304404,"Port-Vila"
"205","Venezuela, RB",2019,28971683,"Caracas"
"206","Virgin Islands (U.S.)",2019,106669,"Charlotte Amalie"
"207","Yemen, Rep.",2019,31546691,"Sana'a"
"208","Zambia",2019,18380477,"Lusaka"
"209","Zimbabwe",2019,15354608,"Harare"
