"","country","year","population","capital"
"1","Afghanistan",2019,37769499,"Kabul"
"2","Albania",2019,2854191,"Tirane"
"3","Algeria",2019,42705368,"Algiers"
"4","American Samoa",2019,47321,"Pago Pago"
"5","Andorra",2019,76343,"Andorra la Vella"
"6","Angola",2019,32353588,"Luanda"
"7","Antigua and Barbuda",2019,92117,"Saint John's"
"8","Argentina",2019,44938712,"Buenos Aires"
"9","Armenia",2019,2820602,"Yerevan"
"10","Aruba",2019,106442,"Oranjestad"
"11","Australia",2019,25334826,"Canberra"
"12","Austria",2019,8879920,"Vienna"
"13","Azerbaijan",2019,10024283,"Baku"
"14","Bahamas, The",2019,404557,"Nassau"
"15","Bahrain",2019,1494188,"Manama"
"16","Bangladesh",2019,165516222,"Dhaka"
"17","Barbados",2019,280180,"Bridgetown"
"18","Belarus",2019,9419758,"Minsk"
"19","Belgium",2019,11488980,"Brussels"
"20","Belize",2019,389095,"Belmopan"
"21","Benin",2019,12290444,"Porto-Novo"
"22","Bermuda",2019,63911,"Hamilton"
"23","Bhutan",2019,767459,"Thimphu"
"24","Bolivia",2019,11777315,"La Paz"
"25","Bosnia and Herzegovina",2019,3360711,"Sarajevo"
"26","Botswana",2019,2499702,"Gaborone"
"27","Brazil",2019,211782878,"Brasilia"
"28","British Virgin Islands",2019,30610,"Road Town"
"29","Brunei Darussalam",2019,438048,"Bandar Seri Begawan"
"30","Bulgaria",2019,6975761,"Sofia"
"31","Burkina Faso",2019,20951639,"Ouagadougou"
"32","Burundi",2019,11874838,"Bujumbura"
"33","Cabo Verde",2019,577030,"Praia"
"34","Cambodia",2019,16207746,"Phnom Penh"
"35","Cameroon",2019,25782341,"Yaounde"
"36","Canada",2019,37618495,"Ottawa"
"37","Cayman Islands",2019,66134,"George Town"
"38","Central African Republic",2019,5209324,"Bangui"
"39","Chad",2019,16126866,"N'Djamena"
"40","Chile",2019,19039485,"Santiago"
"41","China",2019,1407745000,"Beijing"
"42","Colombia",2019,50187406,"Bogota"
"43","Comoros",2019,790986,"Moroni"
"44","Congo, Dem. Rep.",2019,89906890,"Kinshasa"
"45","Congo, Rep.",2019,5570733,"Brazzaville"
"46","Costa Rica",2019,5084532,"San Jose"
"47","Cote d'Ivoire",2019,26147551,"Yamoussoukro"
"48","Croatia",2019,4065253,"Zagreb"
"49","Cuba",2019,11316697,"Havana"
"50","Curacao",2019,157441,"Willemstad"
"51","Cyprus",2019,1228836,"Nicosia"
"52","Denmark",2019,5814422,"Copenhagen"
"53","Djibouti",2019,1073994,"Djibouti"
"54","Dominica",2019,71428,"Roseau"
"55","Dominican Republic",2019,10881882,"Santo Domingo"
"56","Ecuador",2019,17343740,"Quito"
"57","Egypt, Arab Rep.",2019,105618671,"Cairo"
"58","El Salvador",2019,6280217,"San Salvador"
"59","Equatorial Guinea",2019,1553031,"Malabo"
"60","Eritrea",2019,3498818,"Asmara"
"61","Estonia",2019,1326898,"Tallinn"
"62","Eswatini",2019,1169613,"Mbabane"
"63","Ethiopia",2019,114120594,"Addis Ababa"
"64","Faroe Islands",2019,51681,"Torshavn"
"65","Fiji",2019,918465,"Suva"
"66","Finland",2019,5521606,"Helsinki"
"67","France",2019,67388001,"Paris"
"68","French Polynesia",2019,299717,"Papeete"
"69","Gabon",2019,2242785,"Libreville"
"70","Gambia, The",2019,2508883,"Banjul"
"71","Georgia",2019,3720161,"Tbilisi"
"72","Germany",2019,83092962,"Berlin"
"73","Ghana",2019,31522290,"Accra"
"74","Greece",2019,10721582,"Athens"
"75","Greenland",2019,56225,"Nuuk"
"76","Grenada",2019,122724,"Saint George's"
"77","Guam",2019,168624,"Agana"
"78","Guatemala",2019,16604026,"Guatemala City"
"79","Guinea",2019,12877539,"Conakry"
"80","Guinea-Bissau",2019,1970457,"Bissau"
"81","Guyana",2019,798753,"Georgetown"
"82","Haiti",2019,11160438,"Port-au-Prince"
"83","Honduras",2019,9958829,"Tegucigalpa"
"84","Hungary",2019,9771141,"Budapest"
"85","Iceland",2019,360563,"Reykjavik"
"86","India",2019,1383112050,"New Delhi"
"87","Indonesia",2019,269582878,"Jakarta"
"88","Iran, Islamic Rep.",2019,86564202,"Tehran"
"89","Iraq",2019,41563520,"Baghdad"
"90","Ireland",2019,4934340,"Dublin"
"91","Isle of Man",2019,83933,"Douglas"
"92","Italy",2019,59729081,"Rome"
"93","Jamaica",2019,2813773,"Kingston"
"94","Japan",2019,126633000,"Tokyo"
"95","Jordan",2019,10698683,"Amman"
"96","Kazakhstan",2019,18513673,"Astana"
"97","Kenya",2019,50951450,"Nairobi"
"98","Kiribati",2019,124241,"Tarawa"
"99","Korea, Dem. People's Rep.",2019,25755441,"Pyongyang"
"100","Korea, Rep.",2019,51764822,"Seoul"
"101","Kosovo",2019,1788878,"Pristina"
"102","Kuwait",2019,4441100,"Kuwait City"
"103","Kyrgyz Republic",2019,6456200,"Bishkek"
"104","Lao PDR",2019,7212053,"Vientiane"
"105","Latvia",2019,1913822,"Riga"
"106","Lebanon",2019,5781907,"Beirut"
"107","Lesotho",2019,2225702,"Maseru"
"108","Liberia",2019,4985289,"Monrovia"
"109","Libya",2019,6569088,"Tripoli"
"110","Liechtenstein",2019,38482,"Vaduz"
"111","Lithuania",2019,2794137,"Vilnius"
"112","Luxembourg",2019,620001,"Luxembourg"
"113","Madagascar",2019,27533134,"Antananarivo"
"114","Malawi",2019,18867337,"Lilongwe"
"115","Malaysia",2019,32804020,"Kuala Lumpur"
"116","Maldives",2019,504508,"Male"
"117","Mali",2019,20567424,"Bamako"
