"","Country","Lat","Long","date","Confirmed","Recovered","Deaths"
"110","US",32.3182,-86.9023,2020-03-17,39,0,0
"111","US",32.3182,-86.9023,2020-03-18,46,0,0
"112","US",32.3182,-86.9023,2020-03-19,78,0,0
"113","US",32.3182,-86.9023,2020-03-02,0,0,0
"114","US",32.3182,-86.9023,2020-03-20,83,0,0
"115","US",32.3182,-86.9023,2020-03-21,131,0,0
"116","US",32.3182,-86.9023,2020-03-22,138,0,0
"117","US",32.3182,-86.9023,2020-03-23,138,0,0
"118","US",32.3182,-86.9023,2020-03-03,0,0,0
"119","US",32.3182,-86.9023,2020-03-04,0,0,0
"120","US",32.3182,-86.9023,2020-03-05,0,0,0
"121","US",32.3182,-86.9023,2020-03-06,0,0,0
"122","US",32.3182,-86.9023,2020-03-07,0,0,0
"123","US",32.3182,-86.9023,2020-03-08,0,0,0
"124","US",32.3182,-86.9023,2020-03-09,0,0,0
"125","US",29.7938,-82.4944,2020-01-22,0,0,0
"126","US",29.7938,-82.4944,2020-01-23,0,0,0
"127","US",29.7938,-82.4944,2020-01-24,0,0,0
"128","US",29.7938,-82.4944,2020-01-25,0,0,0
"129","US",29.7938,-82.4944,2020-01-26,0,0,0
"130","US",29.7938,-82.4944,2020-01-27,0,0,0
"131","US",29.7938,-82.4944,2020-01-28,0,0,0
"132","US",29.7938,-82.4944,2020-01-29,0,0,0
"133","US",29.7938,-82.4944,2020-01-30,0,0,0
"134","US",29.7938,-82.4944,2020-01-31,0,0,0
"135","US",29.7938,-82.4944,2020-02-01,0,0,0
"136","US",29.7938,-82.4944,2020-02-10,0,0,0
"137","US",29.7938,-82.4944,2020-02-11,0,0,0
"138","US",29.7938,-82.4944,2020-02-12,0,0,0
"139","US",29.7938,-82.4944,2020-02-13,0,0,0
"140","US",29.7938,-82.4944,2020-02-14,0,0,0
"141","US",29.7938,-82.4944,2020-02-15,0,0,0
"142","US",29.7938,-82.4944,2020-02-16,0,0,0
"143","US",29.7938,-82.4944,2020-02-17,0,0,0
"144","US",29.7938,-82.4944,2020-02-18,0,0,0
"145","US",29.7938,-82.4944,2020-02-19,0,0,0
"146","US",29.7938,-82.4944,2020-02-02,0,0,0
"147","US",29.7938,-82.4944,2020-02-20,0,0,0
"148","US",29.7938,-82.4944,2020-02-21,0,0,0
"149","US",29.7938,-82.4944,2020-02-22,0,0,0
"150","US",29.7938,-82.4944,2020-02-23,0,0,0
"151","US",29.7938,-82.4944,2020-02-24,0,0,0
"152","US",29.7938,-82.4944,2020-02-25,0,0,0
"153","US",29.7938,-82.4944,2020-02-26,0,0,0
"154","US",29.7938,-82.4944,2020-02-27,0,0,0
"155","US",29.7938,-82.4944,2020-02-28,0,0,0
"156","US",29.7938,-82.4944,2020-02-29,0,0,0
"157","US",29.7938,-82.4944,2020-02-03,0,0,0
"158","US",29.7938,-82.4944,2020-02-04,0,0,0
"159","US",29.7938,-82.4944,2020-02-05,0,0,0
"160","US",29.7938,-82.4944,2020-02-06,0,0,0
"161","US",29.7938,-82.4944,2020-02-07,0,0,0
"162","US",29.7938,-82.4944,2020-02-08,0,0,0
"163","US",29.7938,-82.4944,2020-02-09,0,0,0
"164","US",29.7938,-82.4944,2020-03-01,0,0,0
"165","US",29.7938,-82.4944,2020-03-10,0,0,0
"166","US",29.7938,-82.4944,2020-03-11,0,0,0
"167","US",29.7938,-82.4944,2020-03-12,0,0,0
"168","US",29.7938,-82.4944,2020-03-13,0,0,0
